101,1,1,1,1,10,0.2,12,1450,340,82,78,0,0.0,5.7,0,2,3,128
102,2,2,2,2,12,0.3,10,1580,360,84,80,0,0.0,5.3,0,3,4,118
103,3,3,3,3,14,0.1,8,1720,410,91,89,420,17.5,0.0,0,4,5,0
104,4,4,4,5,16,0.2,10,1540,390,87,83,0,0.0,4.8,0,3,4,95
105,5,5,5,6,18,0.2,11,1660,420,85,82,0,0.0,5.1,0,4,5,102
106,6,6,6,7,20,0.3,9,1700,380,79,76,0,0.0,5.6,0,4,4,110
107,7,7,7,8,22,0.3,8,1600,350,77,74,0,0.0,5.9,0,2,3,112
108,8,8,8,9,24,0.3,10,1800,450,88,84,70,2.3,3.9,0,5,6,76
109,9,9,9,10,26,0.2,10,1850,470,89,86,65,2.6,4.1,0,5,6,82
110,10,10,10,3,28,0.2,12,1950,520,93,91,480,19.1,0.0,0,6,7,0
